DOR Code,Municipality,County,Billing Cycle,Form of Government,School Structure,2021 Population,FY 2023 Single Family Tax Bill,2020 DOR Income Per Capita,2022 EQV Per Capita,Land Area,Population Density,2018 Total Road Miles,Fiscal Year,General Government,Police,Fire,Other Public Safety,Education,Public Works,Human Services,Culture and Recreation,Fixed Costs,Intergovernmental Assessments,Other Expenditures,Debt Service,Total Expenditures,Tax Levy,State Aid,Local Receipts,Enterprise & CPA Funds,Other Revenue,Total Budget...9,Tax Levy as % of Budget...10,State Aid as % of Budget...11,Local Receipts as % of Budget...12,All Other as % of Budget,Total Budget...14,Tax Levy as % of Budget...15,State Aid as % of Budget...16,Local Receipts as % of Budget...17,Other + CPA + Ent as % of Total,Residential Tax Rate,Open Space Tax Rate,Commercial Tax Rate,Industrial Tax Rate,Personal Property Tax Rate,Residential Levy,Open Space Levy,Commercial Levy,Industrial Levy,Personal Prop Levy,Total Tax Levy,R/O % of Total Levy,CIP as % of Total Levy
011,Ashburnham,WORCESTER,Quarterly,OPEN TOWN MEETING,No data,6341,5654,39153,134432,38.37,165,97.6,2023,1448796,1669045,1085893,293979,8531266,1857528,156618,268899,1659489,50518,123314,1598795,18744140,16139602.08,1200124,1487500,1622851,719784,19547010.08,82.57,6.14,7.61,3.68,21169861.08,76.24,5.67,7.03,11.07,16.55,0,16.55,16.55,16.55,15526763.35,0,282329.13,111343.44,219166.16,16139602.08,96.2,3.8
012,Ashby,MIDDLESEX,Quarterly,OPEN TOWN MEETING,No data,3170,5463,38719,131617,23.7,134,64.23,2023,711304,955873,324452,243682,4772433,1135608,76650,122450,875445,26441,26139,78500,9348977,7332499.82,735681,861000,43000,963388.47,9892569.29,74.12,7.44,8.7,9.74,9935569.29,73.8,7.4,8.67,10.13,16.42,0,16.42,16.42,16.42,6895823.69,0,174363.96,22572.57,239739.6,7332499.82,94.04,5.96
013,Ashfield,FRANKLIN,Quarterly,OPEN TOWN MEETING,No data,1691,5003,29593,173511,40,42,83.41,2023,541911,182025,155512,110818,2812316,1114800,77771,87293,221276,68720,0,176071,5548513,5029083.04,345093,304700,1547599,653505.32,6332381.36,79.42,5.45,4.81,10.32,7879980.36,63.82,4.38,3.87,27.93,17.61,0,17.61,17.61,17.61,4323782.35,0,179629.27,22410.66,503260.76,5029083.04,85.98,14.02
014,Ashland,MIDDLESEX,Quarterly,OPEN TOWN MEETING,K-12,18560,8193,59335,193641,12.33,1505,82.12,2023,3414438,3769226,3457417,170903,39464377,2249669,282524,870626,11442681,430687,0,5919062,71471610,53021122.54,11869470,4349885.46,14494227.75,3871862,73112340,72.52,16.23,5.95,5.3,87606567.75,60.52,13.55,4.97,20.96,13.77,13.77,13.77,13.77,13.77,48374385.54,2442.8,2614734.32,767962.26,1261597.62,53021122.54,91.24,8.76
015,Athol,WORCESTER,Quarterly,OPEN TOWN MEETING,No data,11905,3495,23504,89086,32.29,369,114.9,2023,1781649,2477742,2381977,354411,5509027,2147078,494275,682282,4530043,134724,899538,1972858,23365604,16503439.12,3362128,3271670,3791699,2639123.01,25776360.13,64.03,13.04,12.69,10.24,29568059.13,55.82,11.37,11.06,21.75,14.04,0,14.04,14.04,14.04,14425082.1,0,1169243.04,374448.2,534665.78,16503439.12,87.41,12.59
016,Attleboro,BRISTOL,Quarterly,COUNCIL AND ALDERMAN,K-12,46580,5506,36760,127721,26.81,1737,205.31,2023,5830706,10493597,10853651,637957,79928153,3703180,4574903,3969052,9328699,5559139,0,10235024,145114061,92699896.16,55906703,16000624.03,19390699.94,10697980.47,175305203.66,52.88,31.89,9.13,6.1,194695903.6,47.61,28.71,8.22,15.45,13.69,0,20.27,20.27,20.27,73287704.06,0,9564970.3,4812844.91,5034376.89,92699896.16,79.06,20.94
017,Auburn,WORCESTER,Quarterly,OPEN TOWN MEETING,K-12,16830,5775,40005,163338,15.48,1087,118.57,2023,3232807,5521246,4724438,295569,31072050,4560089,953910,953486,6147081,617224,1680012,5369733,65127645,47217763.16,16765418,6949744,4518652.32,3064456.97,73997382.13,63.81,22.66,9.39,4.14,78516034.45,60.14,21.35,8.85,9.66,15.88,0,18.58,18.58,18.5,34405638.19,0,7606546,3474666.24,1730912.73,47217763.16,72.87,27.13
018,Avon,NORFOLK,Quarterly,OPEN TOWN MEETING,K-12,4755,6064,39809,227404,4.29,1108,35.19,2023,1486758,2486320,2412432,209192,10614725,2581531,382680,504179,5252262,709184,225000,1977070,28841333,21658042.14,5104348,2880000,0,2375245,32017635.14,67.64,15.94,9,7.42,32017635.14,67.64,15.94,9,7.42,13.62,0,27,27,27,9263984.74,0,3902056.44,7084098,1407902.96,21658042.14,42.77,57.23
019,Ayer,MIDDLESEX,Quarterly,OPEN TOWN MEETING,K-12,8400,5552,40320,182079,8.92,942,51.26,2023,2923445,2617399,2214056,770653,14144303,1543693,287365,870242,4337278,2889,-1124690,887820,29474453,26947805.17,1045256,2693000,10901210,2841623,33527684.17,80.37,3.12,8.03,8.48,44428894.17,60.65,2.35,6.06,30.93,12.42,0,27.45,27.45,27.45,14029861.06,0,3811960.28,4895443.98,4210539.85,26947805.17,52.06,47.94
020,Barnstable,BARNSTABLE,Quarterly,COUNCIL AND ALDERMAN,K-12,49583,5076,44786,367488,59.8,829,453.67,2023,14097532,16080305,0,2502533,81629649,5615103,1997473,3997395,25286887,12547511,0,6773285,170527673,140669929.3,24537786,16430193,45116767,26355425,207993333.3,67.63,11.8,7.9,12.67,253110100.3,55.58,9.69,6.49,28.24,7.07,0,6.43,6.43,6.43,125308787.08,0,12084206.72,680067.02,2596868.48,140669929.3,89.08,10.92
021,Barre,WORCESTER,Quarterly,OPEN TOWN MEETING,No data,5526,4462,30154,105616,44.33,125,117.23,2023,1040518,917012,334926,911219,6673217,904199,217278,355950,1086838,17749,0,524610,12983516,9538481.44,1219131,1367655.34,1376996,771490.46,12896758.24,73.96,9.45,10.6,5.98,14273754.24,66.83,8.54,9.58,15.05,15.86,0,15.86,15.86,15.86,8492085.92,0,422857.4,171524.31,452013.81,9538481.44,89.03,10.97
022,Becket,BERKSHIRE,Quarterly,OPEN TOWN MEETING,No data,1932,3362,31490,326089,46.06,42,85.48,2023,813728,549846,32894,74975,3122155,1082561,70772,118922,833896,2967,0,174099,6876815,6997118.8,277925,606800,261776.24,508803,8390646.8,83.39,3.31,7.23,6.06,8652423.04,80.87,3.21,7.01,8.91,10.76,0,10.76,10.76,10.76,6337343.51,0,211849.44,20702.72,427223.13,6997118.8,90.57,9.43
023,Bedford,MIDDLESEX,Quarterly,OPEN TOWN MEETING,K-12,14155,10454,82483,327264,13.66,1036,85.03,2023,8201966,4106562,3291479,605955,46303421,15711559,1526623,1480678,14389255,392646,0,10805627,106815771,76158940.14,9466037,10673212,5148021,15480028.3,111778217.44,68.13,8.47,9.55,13.85,116926238.44,65.13,8.1,9.13,17.64,12.48,0,28.16,28.16,28.16,45443886.87,0,15547215.58,11441785.34,3726052.35,76158940.14,59.67,40.33
024,Belchertown,HAMPSHIRE,Quarterly,OPEN TOWN MEETING,K-12,15279,5639,39345,123658,52.64,290,163.29,2023,3354541,2456669,2272257,319947,28623081,2104520,829520,923095,10034718,1727722,68750,958976,53673796,32236539.04,17526033,3590400,2945618,2366006,55718978.04,57.86,31.45,6.44,4.25,58664596.04,54.95,29.87,6.12,9.05,16.32,0,16.32,16.32,16.32,30012137.57,0,1178837.48,209773.85,835790.14,32236539.04,93.1,6.9
025,Bellingham,NORFOLK,Quarterly,OPEN TOWN MEETING,K-12,16905,5227,41502,196224,18.35,921,101.23,2023,4507494,4156963,3653252,556842,34046940,2328184,585430,874199,4086297,4285029,0,3770223,62850853,50998488.99,12352445,5625550,8640422,6411209,75387692.99,67.65,16.39,7.46,8.5,84028114.99,60.69,14.7,6.69,17.91,13.05,0,18.57,18.57,18.48,31902998.52,0,6141170.53,6956459.51,5997860.43,50998488.99,62.56,37.44
026,Belmont,MIDDLESEX,Quarterly,OPEN TOWN MEETING,K-12,26838,16450,116207,386928,4.65,5772,84.8,2023,10549064,8057827,5879263,562708,59109676,6624325,939682,4116773,12009107,2165273,16721,15170502,125200921,116505822.15,12910612,8640888.85,22887063,8875082,146932405,79.29,8.79,5.88,6.04,169819468,68.61,7.6,5.09,18.7,11.24,0,11.24,11.24,11.24,110891375.63,0,4153642.51,318468.54,1142335.47,116505822.15,95.18,4.82
027,Berkley,BRISTOL,Quarterly,OPEN TOWN MEETING,K-08,6785,5939,44901,160333,16.51,411,63.23,2023,775185,1545700,246865,1134846,14681110,920944,68343,155803,1475866,219549,136921,250904,21612036,14848764.5,5578578,1342720,0,4323690,26093752.5,56.91,21.38,5.15,16.57,26093752.5,56.91,21.38,5.15,16.57,13.22,0,13.22,13.22,13.22,14157775.47,0,290080.79,67322.2,333586.04,14848764.5,95.35,4.65
028,Berlin,WORCESTER,Semi-Annual,OPEN TOWN MEETING,K-06,3674,7729,54143,211064,12.97,283,44.67,2023,1363811,1180706,838163,406055,7742100,798952,111942,179502,1339724,43683,49235,298775,14352648,13158300.05,261475,1320975,1915044.51,2487186.64,17227936.69,76.38,1.52,7.67,14.44,19142981.2,68.74,1.37,6.9,23,13.84,13.84,23.49,23.49,23.34,9572463.61,29708.43,2761414.21,297317.63,497396.17,13158300.05,72.97,27.03
029,Bernardston,FRANKLIN,Preliminary Semi-Annual,OPEN TOWN MEETING,No data,2106,4850,33016,137521,23.39,90,57,2023,366293,316210,262501,35980,3412623,605602,100751,82098,274287,91936,57936,64000,5670217,4905707.68,399213,361500,0,506205.05,6172625.73,79.48,6.47,5.86,8.2,6172625.73,79.48,6.47,5.86,8.2,15.99,0,15.99,15.99,15.99,4277038.7,0,319735.83,180543.35,128389.8,4905707.68,87.18,12.82
030,Beverly,ESSEX,Quarterly,COUNCIL AND ALDERMAN,K-12,42446,7693,53934,211352,15.09,2813,153.18,2023,7197776,9942909,8364246,1306034,73744931,5148332,1750528,3859438,13402512,2095100,0,8254319,135066125,119417892.74,21212189,10301283,21240235.4,7687783,158619147.74,75.29,13.37,6.49,4.85,179859383.14,66.4,11.79,5.73,16.08,11.26,11.26,22.07,22.07,22.07,93235522.7,9466,16049522.6,4616157.01,5507224.43,119417892.74,78.08,21.92
031,Billerica,MIDDLESEX,Quarterly,REPRESENTATIVE TOWN MEETING,K-12,41453,6520,46050,218234,25.57,1621,228.11,2023,7960456,9074056,9294810,3049938,83420151,10987049,1239348,3076175,20316755,5673033,0,7928421,162020192,145003355.61,27585698,13440000,19128055,8963478,194992531.61,74.36,14.15,6.89,4.6,214120586.61,67.72,12.88,6.28,13.12,11.87,0,26.45,26.45,26.45,88509920.69,0,12052294.81,34335922.9,10105217.21,145003355.61,61.04,38.96
032,Blackstone,WORCESTER,Quarterly,OPEN TOWN MEETING,No data,9177,6129,37751,134152,11.08,828,47.12,2023,2466625,2011233,1389273,544188,12195946,2545796,474868,752416,1985307,49569,9127,859496,25283844,21652358.98,2049398,2031500,2782553,3568607,29301863.98,73.89,6.99,6.93,12.18,32084416.98,67.49,6.39,6.33,19.8,16.18,0,16.18,16.18,16.18,17433158.3,0,482615.92,548837.31,3187747.45,21652358.98,80.51,19.49
033,Blandford,HAMPDEN,Quarterly,OPEN TOWN MEETING,No data,1210,3981,35472,199225,51.57,23,88.97,2023,823577,100409,89946,67790,1704999,808392,108812,96193,270288,14862,0,233473,4318741,3567404.02,235245,622270,964848.56,587211.68,5012130.7,71.18,4.69,12.42,11.72,5976979.26,59.69,3.94,10.41,25.97,13.66,0,13.66,13.66,13.66,2519051.39,0,114610.42,58412.89,875329.32,3567404.02,70.61,29.39
034,Bolton,WORCESTER,Quarterly,OPEN TOWN MEETING,No data,5676,12463,84611,230426,19.95,285,66.46,2023,1471751,1569301,570329,580782,17883645,1722857,199542,566649,1513164,72782,0,1001033,27151835,25241665.4,310146,1591042,0,725255.52,27868108.92,90.58,1.11,5.71,2.6,27868108.92,90.58,1.11,5.71,2.6,17.5,0,17.5,17.5,17.5,23896313.4,0,718323.85,207464.25,419563.9,25241665.4,94.67,5.33
035,Boston,SUFFOLK,Quarterly,MAYOR,K-12,654776,5701,61801,345718,48.28,13562,934.68,2023,219797664,419788643,278864184,68086395,1281161733,127977628,179484006,83514820,455579657,352001318,0,200722625,3666978673,2993144085.79,513570204,460054354.04,40285280,73529500,4040298143.83,74.08,12.71,11.39,1.82,4080583423.83,73.35,12.59,11.27,2.79,10.74,0,24.68,24.68,24.68,1248863019.06,0,1500027795.32,35242509.4,209010762.01,2993144085.79,41.72,58.28
036,Bourne,BARNSTABLE,Quarterly,OPEN TOWN MEETING,K-12,20709,5529,43619,275746,40.64,510,192.23,2023,4799192,5424782,5084738,1791756,28499112,2937020,905352,947115,7664116,4937029,1706173,6384732,71081117,58627869.21,9179905,7518231.96,20338953.77,6822559.41,82148565.58,71.37,11.17,9.15,8.31,102487519.35,57.2,8.96,7.34,26.5,8.81,0,8.81,8.81,8.81,52025984.95,0,4136663.63,412323.24,2052897.39,58627869.21,88.74,11.26
037,Boxborough,MIDDLESEX,Quarterly,OPEN TOWN MEETING,K-06,5425,11868,73599,251479,10.29,527,41.4,2023,1853801,1817582,1317061,443547,13398094,1187151,187774,685804,2324714,0,0,1310391,24525919,22900834.31,346673,1575000,712550,1230112.44,26052619.75,87.9,1.33,6.05,4.72,26765169.75,85.56,1.3,5.88,7.26,15.52,0,15.52,15.52,15.52,18761229.16,0,1149115.17,2248291.45,742198.53,22900834.31,81.92,18.08
038,Boxford,ESSEX,Quarterly,OPEN TOWN MEETING,K-06,8141,11638,114859,276246,23.56,346,100.55,2023,2102677,1496931,810523,947653,25069444,2893816,419198,519735,2770825,185386,0,1336033,38552221,32980232.11,2674841,2683169,1554913,1433734,39771976.11,82.92,6.73,6.75,3.6,41326889.11,79.8,6.47,6.49,7.23,13.84,0,13.84,13.84,13.84,32036153.81,0,213875.1,29900.67,700302.53,32980232.11,97.14,2.86
039,Boylston,WORCESTER,Quarterly,OPEN TOWN MEETING,K-06,4882,7717,65579,209683,16.06,304,51.78,2023,1118978,2034859,674901,254034,11239755,1533964,166135,335605,1697481,54071,1,376525,19486309,16633378.15,521660,2062099.64,0,708142.33,19925280.12,83.48,2.62,10.35,3.55,19925280.12,83.48,2.62,10.35,3.55,14.4,0,14.4,14.4,14.4,13825393.56,0,1704210.91,764570.88,339202.8,16633378.15,83.12,16.88
040,Braintree,NORFOLK,Quarterly,MAYOR,K-12,38822,5992,48491,229892,13.75,2823,142.93,2023,6029081,11913363,10501609,775574,75779560,8186778,883017,2621868,14648138,4728638,0,10747388,146815014,108432542.11,26607807,19127538.09,26883921,3040473,157208360.2,68.97,16.93,12.17,1.93,184092281.2,58.9,14.45,10.39,16.26,9.76,0,21.18,21.18,21.11,69924270.38,0,29579498.81,6124357.97,2804414.95,108432542.11,64.49,35.51
041,Brewster,BARNSTABLE,Semi-Annual,OPEN TOWN MEETING,K-05,10456,5393,45494,472587,22.88,457,163.54,2023,3464577,3111044,3346073,939618,22287133,2526174,852909,1005356,6710827,652436,496271,3311797,48704215,40592755.51,2393669,5574665,9751431,4617855,53178944.51,76.33,4.5,10.48,8.68,62930375.51,64.5,3.8,8.86,22.83,6.99,0,6.99,6.99,6.99,38515343.35,0,1124705.01,154731.34,797975.81,40592755.51,94.88,5.12
042,Bridgewater,PLYMOUTH,Quarterly,OPEN TOWN MEETING,No data,28805,6696,36036,135549,27.32,1054,135.06,2023,3947352,6737987,6855694,401339,37806193,1691830,511970,1004293,8117238,428311,265116,641391,68408714,55957296.13,5029391,5512646,13780477,13716752.78,80216085.91,69.76,6.27,6.87,17.1,93996562.91,59.53,5.35,5.86,29.25,12.84,0,12.84,12.84,12.84,48690092.9,0,3568086.03,2159613.91,1539503.29,55957296.13,87.01,12.99
043,Brimfield,HAMPDEN,Quarterly,OPEN TOWN MEETING,K-06,3690,4977,40907,141822,34.74,106,79.09,2023,746561,443633,181984,354854,6627000,1003354,208972,138272,940947,136495,0,176500,10958572,8601268.98,2045027,675645.7,0,980627,12302568.68,69.91,16.62,5.49,7.97,12302568.68,69.91,16.62,5.49,7.97,15.21,0,15.21,15.21,15.21,7678624.16,0,433049.36,192185.96,297409.5,8601268.98,89.27,10.73
044,Brockton,PLYMOUTH,Quarterly,COUNCIL AND ALDERMAN,K-12,105446,5055,24130,100460,21.33,4944,290.31,2023,21192640,29369947,30395518,1518990,238308470,5485029,2699991,2643878,70923044,30908649,0,26584714,460030870,166843752.98,256604133,18301200,52694034,23663001.8,465412087.78,35.85,55.13,3.93,5.08,518106121.78,32.2,49.53,3.53,14.74,12.98,0,26.02,26.02,26.02,124555603.61,0,27786444.62,5674515.5,8827189.25,166843752.98,74.65,25.35
045,Brookfield,WORCESTER,Quarterly,OPEN TOWN MEETING,K-06,3432,4824,31924,107833,15.55,221,39.97,2023,902669,650859,314768,355031,5166373,775645,104409,251987,1252730,241449,0,93377,10109297,6077179.71,2787788,1004955,0,906287.78,10776210.49,56.39,25.87,9.33,8.41,10776210.49,56.39,25.87,9.33,8.41,15.98,0,15.98,15.98,15.98,5646361.12,0,185346.86,59763.6,185708.13,6077179.71,92.91,7.09
046,Brookline,NORFOLK,Quarterly,REPRESENTATIVE TOWN MEETING,K-12,62726,21322,91400,476606,6.75,9293,107.18,2023,13924496,16349644,17571303,2461922,130884869,13588421,2425972,7958580,75327594,7295058,0,35445846,323233705,281378161.59,23230992,29525786,36638818,12839933,346974872.59,81.09,6.7,8.51,3.7,383613690.59,73.35,6.06,7.7,12.9,9.97,0,16.7,16.7,16.7,234930908.6,0,40765026.57,352239.74,5329986.68,281378161.59,83.49,16.51
047,Buckland,FRANKLIN,Quarterly,OPEN TOWN MEETING,No data,1816,4922,25194,148915,19.67,92,50.06,2023,851094,234996,0,23911,3008730,807989,128541,92462,345097,21748,0,159325,5673893,4626704.4,414945,207250,416458,1000305,6249204.4,74.04,6.64,3.32,16.01,6665662.4,69.41,6.23,3.11,21.25,16.94,0,16.94,16.94,16.94,3878092.33,0,180288.47,442347.44,125976.16,4626704.4,83.82,16.18
048,Burlington,MIDDLESEX,Quarterly,REPRESENTATIVE TOWN MEETING,K-12,25989,6197,59089,346629,11.73,2216,117.63,2023,5736986,10024973,9804005,674063,73254881,15190881,1828879,4120543,18910659,946271,931775,7172212,148596128,134491166.51,12511792,15061605.54,6856100,10993445,173058009.05,77.71,7.23,8.7,6.35,179914109.05,74.75,6.95,8.37,9.92,9.4,0,26.15,26.15,26.15,50459183.06,0,72764620.92,5585805.11,5681557.42,134491166.51,37.52,62.48
049,Cambridge,MIDDLESEX,Semi-Annual,COUNCIL AND ALDERMAN,K-12,117090,10374,74061,600709,6.39,18324,142.81,2023,46226062,56187124,35279954,20346667,186809533,34542195,27988015,28980235,105353127,66680814,104010,86865349,695363085,531428570.84,51228018,205230640,21964480,142817552.17,930704781.01,57.1,5.5,22.05,15.35,952669261.01,55.78,5.38,21.54,17.3,5.86,0,10.38,10.38,10.38,181899086.65,0,164508094.27,162093883.99,22927505.93,531428570.84,34.23,65.77
050,Canton,NORFOLK,Quarterly,OPEN TOWN MEETING,K-12,24470,7686,64467,260594,18.8,1302,113.42,2023,5611710,6297249,6837445,1223988,52955896,5782902,1218862,2531385,9606909,1513485,0,4765359,98345190,91210270.55,10797965,8800000,17531791,5419747.53,116227983.08,78.48,9.29,7.57,4.66,133759774.08,68.19,8.07,6.58,17.16,10.57,0,21.57,21.57,21.57,55223222.05,0,14268442.64,16326540.93,5392064.93,91210270.55,60.54,39.46
051,Carlisle,MIDDLESEX,Quarterly,OPEN TOWN MEETING,K-08,5181,15930,229125,355477,15.26,340,54.81,2023,2182663,2117104,529830,630326,19864085,1307786,406806,899720,3004795,56578,0,1331438,32331131,29843058.95,1864268,1191100,1172860,422000,33320426.95,89.56,5.59,3.57,1.27,34493286.95,86.52,5.4,3.45,4.62,14.15,0,14.15,14.15,14.15,29299301.36,0,157650.78,20991.53,365115.28,29843058.95,98.18,1.82
052,Carver,PLYMOUTH,Quarterly,OPEN TOWN MEETING,K-12,11668,6543,36643,148853,37.4,312,104.68,2023,3288452,2960862,1521464,964818,24261491,2366726,578211,775698,7347834,1498443,0,2750922,48314921,30065764.25,13180022,3148526,1308602,4725037,51119349.25,58.81,25.78,6.16,9.24,52427951.25,57.35,25.14,6.01,11.51,14.59,0,22.98,22.98,22.98,23482019.85,0,2742320.46,955643.11,2885780.83,30065764.25,78.1,21.9
053,Charlemont,FRANKLIN,Quarterly,OPEN TOWN MEETING,No data,1184,4643,26589,131256,25.95,46,56.99,2023,437719,113181,97842,82324,2367341,695734,22918,31807,233458,23235,30947,83600,4220106,3266089.26,356128,377127.78,495396,520029,4519374.04,72.27,7.88,8.34,11.51,5014770.04,65.13,7.1,7.52,20.25,20.63,0,20.63,20.63,20.63,2743251.93,0,219915.51,56808.83,246112.99,3266089.26,83.99,16.01
054,Charlton,WORCESTER,Quarterly,OPEN TOWN MEETING,No data,13317,4793,43371,167096,42.18,316,156.97,2023,3510411,3203143,2623647,229711,17445979,2123045,550100,593634,3745310,124061,627420,732306,35508767,29512556.01,1799172,2964665,2526395,4502875,38779268.01,76.1,4.64,7.64,11.61,41305663.01,71.45,4.36,7.18,17.02,12.17,0,12.17,12.17,12.17,22993214.07,0,1266371.95,2403838.27,2849131.72,29512556.01,77.91,22.09
055,Chatham,BARNSTABLE,Semi-Annual,OPEN TOWN MEETING,K-12,6703,5254,70620,1308187,16.13,416,122.09,2023,6720788,3321732,4524577,2594150,9837826,5148604,1430519,2550384,5886140,889458,192214,6248285,49344677,38480334.14,234694,11083900,1750860,8127306.65,57926234.79,66.43,0.41,19.13,14.03,59677094.79,64.48,0.39,18.57,16.55,3.88,0,3.88,3.88,3.88,36306797.26,0,1681080.97,107820.45,384635.46,38480334.14,94.35,5.65
