source,value,target,town
State Aid,25221523,Total Revenue,Arlington
Local Receipts,9225900,Total Revenue,Arlington
Enterprise & CPA Funds,30919109,Total Revenue,Arlington
Other Revenue,15374764,Total Revenue,Arlington
Total Revenue,191242832,Total Spending,Arlington
Total Revenue,38668313.099999994,Budget Surplus,Arlington
Budget Defecit,0,Total Spending,Arlington
Total Spending,7349152,General Government,Arlington
Total Spending,8675448,Police,Arlington
Total Spending,8338346,Fire,Arlington
Total Spending,508826,Other Public Safety,Arlington
Total Spending,91353298,Education,Arlington
Total Spending,9719068,Public Works,Arlington
Total Spending,1671007,Human Services,Arlington
Total Spending,4419762,Culture and Recreation,Arlington
Total Spending,36333367,Fixed Costs,Arlington
Total Spending,3823337,Intergovernmental Assessments,Arlington
Total Spending,0,Other Expenditures,Arlington
Total Spending,19051221,Debt Service,Arlington
Residential Levy,15526763.35,Tax Levy,Ashburnham
Open Space Levy,0,Tax Levy,Ashburnham
Commercial Levy,282329.13,Tax Levy,Ashburnham
Industrial Levy,111343.44,Tax Levy,Ashburnham
Personal Prop Levy,219166.16,Tax Levy,Ashburnham
Tax Levy,16139602.08,Total Revenue,Ashburnham
State Aid,1200124,Total Revenue,Ashburnham
Local Receipts,1487500,Total Revenue,Ashburnham
Enterprise & CPA Funds,1622851,Total Revenue,Ashburnham
Other Revenue,719784,Total Revenue,Ashburnham
Total Revenue,18744140,Total Spending,Ashburnham
Total Revenue,2425721.079999998,Budget Surplus,Ashburnham
Budget Defecit,0,Total Spending,Ashburnham
Total Spending,1448796,General Government,Ashburnham
Total Spending,1669045,Police,Ashburnham
Total Spending,1085893,Fire,Ashburnham
Total Spending,293979,Other Public Safety,Ashburnham
Total Spending,8531266,Education,Ashburnham
Total Spending,1857528,Public Works,Ashburnham
Total Spending,156618,Human Services,Ashburnham
Total Spending,268899,Culture and Recreation,Ashburnham
Total Spending,1659489,Fixed Costs,Ashburnham
Total Spending,50518,Intergovernmental Assessments,Ashburnham
Total Spending,123314,Other Expenditures,Ashburnham
Total Spending,1598795,Debt Service,Ashburnham
Residential Levy,6895823.69,Tax Levy,Ashby
Open Space Levy,0,Tax Levy,Ashby
Commercial Levy,174363.96,Tax Levy,Ashby
Industrial Levy,22572.57,Tax Levy,Ashby
Personal Prop Levy,239739.6,Tax Levy,Ashby
Tax Levy,7332499.82,Total Revenue,Ashby
State Aid,735681,Total Revenue,Ashby
Local Receipts,861000,Total Revenue,Ashby
Enterprise & CPA Funds,43000,Total Revenue,Ashby
Other Revenue,963388.47,Total Revenue,Ashby
Total Revenue,9348977,Total Spending,Ashby
Total Revenue,586592.290000001,Budget Surplus,Ashby
Budget Defecit,0,Total Spending,Ashby
Total Spending,711304,General Government,Ashby
Total Spending,955873,Police,Ashby
Total Spending,324452,Fire,Ashby
Total Spending,243682,Other Public Safety,Ashby
Total Spending,4772433,Education,Ashby
Total Spending,1135608,Public Works,Ashby
Total Spending,76650,Human Services,Ashby
Total Spending,122450,Culture and Recreation,Ashby
Total Spending,875445,Fixed Costs,Ashby
Total Spending,26441,Intergovernmental Assessments,Ashby
Total Spending,26139,Other Expenditures,Ashby
Total Spending,78500,Debt Service,Ashby
Residential Levy,4323782.35,Tax Levy,Ashfield
Open Space Levy,0,Tax Levy,Ashfield
Commercial Levy,179629.27,Tax Levy,Ashfield
Industrial Levy,22410.66,Tax Levy,Ashfield
Personal Prop Levy,503260.76,Tax Levy,Ashfield
Tax Levy,5029083.04,Total Revenue,Ashfield
State Aid,345093,Total Revenue,Ashfield
Local Receipts,304700,Total Revenue,Ashfield
Enterprise & CPA Funds,1547599,Total Revenue,Ashfield
Other Revenue,653505.32,Total Revenue,Ashfield
Total Revenue,5548513,Total Spending,Ashfield
Total Revenue,2331467.3600000003,Budget Surplus,Ashfield
Budget Defecit,0,Total Spending,Ashfield
Total Spending,541911,General Government,Ashfield
Total Spending,182025,Police,Ashfield
Total Spending,155512,Fire,Ashfield
Total Spending,110818,Other Public Safety,Ashfield
Total Spending,2812316,Education,Ashfield
Total Spending,1114800,Public Works,Ashfield
Total Spending,77771,Human Services,Ashfield
Total Spending,87293,Culture and Recreation,Ashfield
Total Spending,221276,Fixed Costs,Ashfield
Total Spending,68720,Intergovernmental Assessments,Ashfield
Total Spending,0,Other Expenditures,Ashfield
Total Spending,176071,Debt Service,Ashfield
Residential Levy,48374385.54,Tax Levy,Ashland
Open Space Levy,2442.8,Tax Levy,Ashland
Commercial Levy,2614734.32,Tax Levy,Ashland
Industrial Levy,767962.26,Tax Levy,Ashland
Personal Prop Levy,1261597.62,Tax Levy,Ashland
Tax Levy,53021122.54,Total Revenue,Ashland
State Aid,11869470,Total Revenue,Ashland
Local Receipts,4349885.46,Total Revenue,Ashland
Enterprise & CPA Funds,14494227.75,Total Revenue,Ashland
Other Revenue,3871862,Total Revenue,Ashland
Total Revenue,71471610,Total Spending,Ashland
Total Revenue,16134957.75,Budget Surplus,Ashland
Budget Defecit,0,Total Spending,Ashland
Total Spending,3414438,General Government,Ashland
Total Spending,3769226,Police,Ashland
Total Spending,3457417,Fire,Ashland
Total Spending,170903,Other Public Safety,Ashland
Total Spending,39464377,Education,Ashland
Total Spending,2249669,Public Works,Ashland
Total Spending,282524,Human Services,Ashland
Total Spending,870626,Culture and Recreation,Ashland
Total Spending,11442681,Fixed Costs,Ashland
Total Spending,430687,Intergovernmental Assessments,Ashland
Total Spending,0,Other Expenditures,Ashland
Total Spending,5919062,Debt Service,Ashland
Residential Levy,14425082.1,Tax Levy,Athol
Open Space Levy,0,Tax Levy,Athol
Commercial Levy,1169243.04,Tax Levy,Athol
Industrial Levy,374448.2,Tax Levy,Athol
Personal Prop Levy,534665.78,Tax Levy,Athol
Tax Levy,16503439.12,Total Revenue,Athol
State Aid,3362128,Total Revenue,Athol
Local Receipts,3271670,Total Revenue,Athol
Enterprise & CPA Funds,3791699,Total Revenue,Athol
Other Revenue,2639123.01,Total Revenue,Athol
Total Revenue,23365604,Total Spending,Athol
Total Revenue,6202455.129999995,Budget Surplus,Athol
Budget Defecit,0,Total Spending,Athol
Total Spending,1781649,General Government,Athol
Total Spending,2477742,Police,Athol
Total Spending,2381977,Fire,Athol
Total Spending,354411,Other Public Safety,Athol
Total Spending,5509027,Education,Athol
Total Spending,2147078,Public Works,Athol
Total Spending,494275,Human Services,Athol
Total Spending,682282,Culture and Recreation,Athol
Total Spending,4530043,Fixed Costs,Athol
Total Spending,134724,Intergovernmental Assessments,Athol
Total Spending,899538,Other Expenditures,Athol
Total Spending,1972858,Debt Service,Athol
Residential Levy,73287704.06,Tax Levy,Attleboro
Open Space Levy,0,Tax Levy,Attleboro
Commercial Levy,9564970.3,Tax Levy,Attleboro
Industrial Levy,4812844.91,Tax Levy,Attleboro
Personal Prop Levy,5034376.89,Tax Levy,Attleboro
Tax Levy,92699896.16,Total Revenue,Attleboro
State Aid,55906703,Total Revenue,Attleboro
Local Receipts,16000624.03,Total Revenue,Attleboro
Enterprise & CPA Funds,19390699.94,Total Revenue,Attleboro
Other Revenue,10697980.47,Total Revenue,Attleboro
Total Revenue,145114061,Total Spending,Attleboro
Total Revenue,49581842.599999994,Budget Surplus,Attleboro
Budget Defecit,0,Total Spending,Attleboro
Total Spending,5830706,General Government,Attleboro
Total Spending,10493597,Police,Attleboro
Total Spending,10853651,Fire,Attleboro
Total Spending,637957,Other Public Safety,Attleboro
Total Spending,79928153,Education,Attleboro
Total Spending,3703180,Public Works,Attleboro
Total Spending,4574903,Human Services,Attleboro
Total Spending,3969052,Culture and Recreation,Attleboro
Total Spending,9328699,Fixed Costs,Attleboro
Total Spending,5559139,Intergovernmental Assessments,Attleboro
Total Spending,0,Other Expenditures,Attleboro
Total Spending,10235024,Debt Service,Attleboro
Residential Levy,34405638.19,Tax Levy,Auburn
Open Space Levy,0,Tax Levy,Auburn
Commercial Levy,7606546,Tax Levy,Auburn
Industrial Levy,3474666.24,Tax Levy,Auburn
Personal Prop Levy,1730912.73,Tax Levy,Auburn
Tax Levy,47217763.16,Total Revenue,Auburn
State Aid,16765418,Total Revenue,Auburn
Local Receipts,6949744,Total Revenue,Auburn
Enterprise & CPA Funds,4518652.32,Total Revenue,Auburn
Other Revenue,3064456.97,Total Revenue,Auburn
Total Revenue,65127645,Total Spending,Auburn
Total Revenue,13388389.449999988,Budget Surplus,Auburn
Budget Defecit,0,Total Spending,Auburn
Total Spending,3232807,General Government,Auburn
Total Spending,5521246,Police,Auburn
Total Spending,4724438,Fire,Auburn
Total Spending,295569,Other Public Safety,Auburn
Total Spending,31072050,Education,Auburn
Total Spending,4560089,Public Works,Auburn
Total Spending,953910,Human Services,Auburn
Total Spending,953486,Culture and Recreation,Auburn
Total Spending,6147081,Fixed Costs,Auburn
Total Spending,617224,Intergovernmental Assessments,Auburn
Total Spending,1680012,Other Expenditures,Auburn
Total Spending,5369733,Debt Service,Auburn
Residential Levy,9263984.74,Tax Levy,Avon
Open Space Levy,0,Tax Levy,Avon
Commercial Levy,3902056.44,Tax Levy,Avon
Industrial Levy,7084098,Tax Levy,Avon
Personal Prop Levy,1407902.96,Tax Levy,Avon
Tax Levy,21658042.14,Total Revenue,Avon
State Aid,5104348,Total Revenue,Avon
Local Receipts,2880000,Total Revenue,Avon
Enterprise & CPA Funds,0,Total Revenue,Avon
Other Revenue,2375245,Total Revenue,Avon
Total Revenue,28841333,Total Spending,Avon
Total Revenue,3176302.1400000006,Budget Surplus,Avon
Budget Defecit,0,Total Spending,Avon
Total Spending,1486758,General Government,Avon
Total Spending,2486320,Police,Avon
Total Spending,2412432,Fire,Avon
Total Spending,209192,Other Public Safety,Avon
Total Spending,10614725,Education,Avon
Total Spending,2581531,Public Works,Avon
Total Spending,382680,Human Services,Avon
Total Spending,504179,Culture and Recreation,Avon
Total Spending,5252262,Fixed Costs,Avon
Total Spending,709184,Intergovernmental Assessments,Avon
Total Spending,225000,Other Expenditures,Avon
Total Spending,1977070,Debt Service,Avon
Residential Levy,14029861.06,Tax Levy,Ayer
Open Space Levy,0,Tax Levy,Ayer
Commercial Levy,3811960.28,Tax Levy,Ayer
Industrial Levy,4895443.98,Tax Levy,Ayer
Personal Prop Levy,4210539.85,Tax Levy,Ayer
Tax Levy,26947805.17,Total Revenue,Ayer
State Aid,1045256,Total Revenue,Ayer
Local Receipts,2693000,Total Revenue,Ayer
Enterprise & CPA Funds,10901210,Total Revenue,Ayer
Other Revenue,2841623,Total Revenue,Ayer
Total Revenue,29474453,Total Spending,Ayer
Total Revenue,14954441.170000002,Budget Surplus,Ayer
Budget Defecit,0,Total Spending,Ayer
Total Spending,2923445,General Government,Ayer
Total Spending,2617399,Police,Ayer
Total Spending,2214056,Fire,Ayer
Total Spending,770653,Other Public Safety,Ayer
Total Spending,14144303,Education,Ayer
Total Spending,1543693,Public Works,Ayer
Total Spending,287365,Human Services,Ayer
Total Spending,870242,Culture and Recreation,Ayer
Total Spending,4337278,Fixed Costs,Ayer
Total Spending,2889,Intergovernmental Assessments,Ayer
Total Spending,-1124690,Other Expenditures,Ayer
Total Spending,887820,Debt Service,Ayer
Residential Levy,125308787.08,Tax Levy,Barnstable
Open Space Levy,0,Tax Levy,Barnstable
Commercial Levy,12084206.72,Tax Levy,Barnstable
Industrial Levy,680067.02,Tax Levy,Barnstable
Personal Prop Levy,2596868.48,Tax Levy,Barnstable
Tax Levy,140669929.3,Total Revenue,Barnstable
State Aid,24537786,Total Revenue,Barnstable
Local Receipts,16430193,Total Revenue,Barnstable
Enterprise & CPA Funds,45116767,Total Revenue,Barnstable
Other Revenue,26355425,Total Revenue,Barnstable
Total Revenue,170527673,Total Spending,Barnstable
Total Revenue,82582427.30000001,Budget Surplus,Barnstable
Budget Defecit,0,Total Spending,Barnstable
Total Spending,14097532,General Government,Barnstable
Total Spending,16080305,Police,Barnstable
Total Spending,0,Fire,Barnstable
Total Spending,2502533,Other Public Safety,Barnstable
Total Spending,81629649,Education,Barnstable
Total Spending,5615103,Public Works,Barnstable
Total Spending,1997473,Human Services,Barnstable
Total Spending,3997395,Culture and Recreation,Barnstable
Total Spending,25286887,Fixed Costs,Barnstable
Total Spending,12547511,Intergovernmental Assessments,Barnstable
Total Spending,0,Other Expenditures,Barnstable
Total Spending,6773285,Debt Service,Barnstable
Residential Levy,8492085.92,Tax Levy,Barre
Open Space Levy,0,Tax Levy,Barre
Commercial Levy,422857.4,Tax Levy,Barre
Industrial Levy,171524.31,Tax Levy,Barre
Personal Prop Levy,452013.81,Tax Levy,Barre
Tax Levy,9538481.44,Total Revenue,Barre
State Aid,1219131,Total Revenue,Barre
Local Receipts,1367655.34,Total Revenue,Barre
Enterprise & CPA Funds,1376996,Total Revenue,Barre
Other Revenue,771490.46,Total Revenue,Barre
Total Revenue,12983516,Total Spending,Barre
Total Revenue,1290238.2399999984,Budget Surplus,Barre
Budget Defecit,0,Total Spending,Barre
Total Spending,1040518,General Government,Barre
Total Spending,917012,Police,Barre
Total Spending,334926,Fire,Barre
Total Spending,911219,Other Public Safety,Barre
Total Spending,6673217,Education,Barre
Total Spending,904199,Public Works,Barre
Total Spending,217278,Human Services,Barre
Total Spending,355950,Culture and Recreation,Barre
Total Spending,1086838,Fixed Costs,Barre
Total Spending,17749,Intergovernmental Assessments,Barre
Total Spending,0,Other Expenditures,Barre
Total Spending,524610,Debt Service,Barre
Residential Levy,6337343.51,Tax Levy,Becket
Open Space Levy,0,Tax Levy,Becket
Commercial Levy,211849.44,Tax Levy,Becket
Industrial Levy,20702.72,Tax Levy,Becket
Personal Prop Levy,427223.13,Tax Levy,Becket
Tax Levy,6997118.8,Total Revenue,Becket
State Aid,277925,Total Revenue,Becket
Local Receipts,606800,Total Revenue,Becket
Enterprise & CPA Funds,261776.24,Total Revenue,Becket
Other Revenue,508803,Total Revenue,Becket
Total Revenue,6876815,Total Spending,Becket
Total Revenue,1775608.039999999,Budget Surplus,Becket
Budget Defecit,0,Total Spending,Becket
Total Spending,813728,General Government,Becket
Total Spending,549846,Police,Becket
Total Spending,32894,Fire,Becket
Total Spending,74975,Other Public Safety,Becket
Total Spending,3122155,Education,Becket
Total Spending,1082561,Public Works,Becket
Total Spending,70772,Human Services,Becket
Total Spending,118922,Culture and Recreation,Becket
Total Spending,833896,Fixed Costs,Becket
Total Spending,2967,Intergovernmental Assessments,Becket
Total Spending,0,Other Expenditures,Becket
Total Spending,174099,Debt Service,Becket
Residential Levy,45443886.87,Tax Levy,Bedford
Open Space Levy,0,Tax Levy,Bedford
Commercial Levy,15547215.58,Tax Levy,Bedford
Industrial Levy,11441785.34,Tax Levy,Bedford
Personal Prop Levy,3726052.35,Tax Levy,Bedford
Tax Levy,76158940.14,Total Revenue,Bedford
State Aid,9466037,Total Revenue,Bedford
Local Receipts,10673212,Total Revenue,Bedford
Enterprise & CPA Funds,5148021,Total Revenue,Bedford
Other Revenue,15480028.3,Total Revenue,Bedford
Total Revenue,106815771,Total Spending,Bedford
Total Revenue,10110467.439999998,Budget Surplus,Bedford
Budget Defecit,0,Total Spending,Bedford
Total Spending,8201966,General Government,Bedford
Total Spending,4106562,Police,Bedford
Total Spending,3291479,Fire,Bedford
Total Spending,605955,Other Public Safety,Bedford
Total Spending,46303421,Education,Bedford
Total Spending,15711559,Public Works,Bedford
Total Spending,1526623,Human Services,Bedford
Total Spending,1480678,Culture and Recreation,Bedford
Total Spending,14389255,Fixed Costs,Bedford
Total Spending,392646,Intergovernmental Assessments,Bedford
Total Spending,0,Other Expenditures,Bedford
Total Spending,10805627,Debt Service,Bedford
Residential Levy,30012137.57,Tax Levy,Belchertown
Open Space Levy,0,Tax Levy,Belchertown
Commercial Levy,1178837.48,Tax Levy,Belchertown
Industrial Levy,209773.85,Tax Levy,Belchertown
Personal Prop Levy,835790.14,Tax Levy,Belchertown
Tax Levy,32236539.04,Total Revenue,Belchertown
State Aid,17526033,Total Revenue,Belchertown
Local Receipts,3590400,Total Revenue,Belchertown
Enterprise & CPA Funds,2945618,Total Revenue,Belchertown
Other Revenue,2366006,Total Revenue,Belchertown
Total Revenue,53673796,Total Spending,Belchertown
Total Revenue,4990800.039999999,Budget Surplus,Belchertown
Budget Defecit,0,Total Spending,Belchertown
Total Spending,3354541,General Government,Belchertown
Total Spending,2456669,Police,Belchertown
Total Spending,2272257,Fire,Belchertown
Total Spending,319947,Other Public Safety,Belchertown
Total Spending,28623081,Education,Belchertown
Total Spending,2104520,Public Works,Belchertown
Total Spending,829520,Human Services,Belchertown
Total Spending,923095,Culture and Recreation,Belchertown
Total Spending,10034718,Fixed Costs,Belchertown
Total Spending,1727722,Intergovernmental Assessments,Belchertown
Total Spending,68750,Other Expenditures,Belchertown
Total Spending,958976,Debt Service,Belchertown
Residential Levy,31902998.52,Tax Levy,Bellingham
Open Space Levy,0,Tax Levy,Bellingham
Commercial Levy,6141170.53,Tax Levy,Bellingham
Industrial Levy,6956459.51,Tax Levy,Bellingham
Personal Prop Levy,5997860.43,Tax Levy,Bellingham
Tax Levy,50998488.99,Total Revenue,Bellingham
State Aid,12352445,Total Revenue,Bellingham
Local Receipts,5625550,Total Revenue,Bellingham
Enterprise & CPA Funds,8640422,Total Revenue,Bellingham
Other Revenue,6411209,Total Revenue,Bellingham
Total Revenue,62850853,Total Spending,Bellingham
Total Revenue,21177261.99000001,Budget Surplus,Bellingham
Budget Defecit,0,Total Spending,Bellingham
Total Spending,4507494,General Government,Bellingham
Total Spending,4156963,Police,Bellingham
